,zid,customers_cnt_home,customers_cnt_job,customers_cnt_day,customers_cnt_move,lat,lon,customers_dlt_home,customers_dlt_job,customers_dlt_day,customers_dlt_move,nearest_mfc,logistic,mfc_chance,nearest_mfc_id,nearest_mfc_distance,metaInfo,predicted_customers_cnt_home,predicted_customers_cnt_job,predicted_customers_cnt_day,predicted_customers_cnt_move,mfc_chance_agreg,mfc_chance_balance
41,34324,15,3,19,0,55.158397490680464,37.07252748974678,-11,-1,-4,0,40770.99323728536,12,4.0,272644507,40770.99323728536,Насление: 15<br/><b>Прирост:</b> 15<br/><b>Логистика:</b> 12<br/><b>Необходимость постройки учреждения:</b> 4.0,4,2,15,0,10.700893608995662,4.0
42,34325,22,5,14,0,55.158424741978244,37.08037252097546,5,0,-2,0,40577.62457391209,10,4.0,272644507,40577.62457391209,Насление: 22<br/><b>Прирост:</b> 22<br/><b>Логистика:</b> 10<br/><b>Необходимость постройки учреждения:</b> 4.0,27,5,12,0,10.657663949911468,4.0
43,34326,10,3,6,0,55.15845149015645,37.08821756535861,0,0,-2,0,40389.521521637216,6,4.0,272644507,40389.521521636496,Насление: 10<br/><b>Прирост:</b> 10<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,10,3,4,0,10.606178026318238,4.0
44,34327,11,2,11,0,55.158477733568496,37.09606262266762,3,-1,0,0,40206.7581623861,0,5.0,272644507,40206.75816238752,Насление: 11<br/><b>Прирост:</b> 11<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,14,1,11,0,10.562973397721517,5.0
45,34328,5,0,8,0,55.15850347221265,37.10390769265626,-4,0,0,0,40029.40764207549,0,5.0,272644507,40029.40764207549,Насление: 5<br/><b>Прирост:</b> 5<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,1,0,8,0,10.51748992846858,5.0
46,34329,4,0,7,0,55.15852870608713,37.11175277507829,-4,0,0,0,39857.542222816686,0,5.0,272644507,39857.54222281528,Насление: 4<br/><b>Прирост:</b> 4<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,0,0,7,0,10.476162617530672,5.0
47,34330,4,0,3,0,55.15855343519017,37.119597869687524,-2,0,0,0,39691.23316398114,0,5.0,272644507,39691.23316398114,Насление: 4<br/><b>Прирост:</b> 4<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,2,0,3,0,10.435918340382692,5.0
48,34331,31,1,10,0,55.15857765952015,37.127442976237695,11,-1,-2,-1,39530.55060087944,6,4.0,272644507,39530.55060087944,Насление: 31<br/><b>Прирост:</b> 31<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,42,0,8,-1,10.408539775857198,4.0
49,34332,34,7,23,0,55.15860137797889,37.13528809449261,4,0,-2,0,39375.56353773935,6,4.0,272644507,39375.56353773935,Насление: 34<br/><b>Прирост:</b> 34<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,38,7,21,0,10.376334889972904,4.0
50,34668,24,8,16,2,55.16268432048586,37.01755844417944,7,-1,-2,-1,41822.54298008316,0,5.0,272644507,41822.542980082435,Насление: 26<br/><b>Прирост:</b> 26<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,31,7,14,1,10.953339783394469,5.0
51,34669,34,4,30,0,55.16271511129362,37.02540425792707,-10,-1,-6,-1,41591.99424754827,8,4.0,272644507,41591.99424754827,Насление: 34<br/><b>Прирост:</b> 34<br/><b>Логистика:</b> 8<br/><b>Необходимость постройки учреждения:</b> 4.0,24,3,24,-1,10.902223317140516,4.0
52,34670,30,8,40,3,55.16274539781516,37.03325008656928,-25,0,-4,-1,41366.20578195786,9,4.0,272644507,41366.20578195751,Насление: 33<br/><b>Прирост:</b> 33<br/><b>Логистика:</b> 9<br/><b>Необходимость постройки учреждения:</b> 4.0,5,8,36,2,10.85045562420586,4.0
53,34671,75,7,33,4,55.16277517950016,37.04109592986639,17,0,-4,-1,41145.25601362822,13,4.0,272644507,41145.25601362822,Насление: 79<br/><b>Прирост:</b> 79<br/><b>Логистика:</b> 13<br/><b>Необходимость постройки учреждения:</b> 4.0,92,7,29,3,10.812911417795194,4.0
54,34672,44,4,27,4,55.162804456346606,37.048941787572076,-8,0,-2,-1,40929.22331339417,7,4.0,272644507,40929.22331339453,Насление: 48<br/><b>Прирост:</b> 48<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,36,4,25,3,10.74789348034421,4.0
55,34673,16,8,22,0,55.1628332283525,37.05678765944009,-8,0,0,-1,40718.18595259071,9,4.0,272644507,40718.18595259069,Насление: 16<br/><b>Прирост:</b> 16<br/><b>Логистика:</b> 9<br/><b>Необходимость постройки учреждения:</b> 4.0,8,8,22,-1,10.690599591771985,4.0
56,34674,34,12,47,0,55.16286149551586,37.06463354522413,-11,-1,-1,0,40512.2220046391,13,4.0,272644507,40512.22200463839,Насление: 34<br/><b>Прирост:</b> 34<br/><b>Логистика:</b> 13<br/><b>Необходимость постройки учреждения:</b> 4.0,23,11,46,0,10.653289712034589,4.0
57,34675,25,3,19,0,55.16288925673832,37.07247944468958,-2,0,1,0,40311.40935443601,9,4.0,272644507,40311.40935443601,Насление: 25<br/><b>Прирост:</b> 25<br/><b>Логистика:</b> 9<br/><b>Необходимость постройки учреждения:</b> 4.0,23,3,20,0,10.595098448012061,4.0
58,34676,15,3,17,0,55.16291651421089,37.08032535756647,0,-1,0,0,40115.82514379821,9,4.0,272644507,40115.8251437975,Насление: 15<br/><b>Прирост:</b> 15<br/><b>Логистика:</b> 9<br/><b>Необходимость постройки учреждения:</b> 4.0,15,2,17,0,10.545756277180157,4.0
59,34677,6,1,3,0,55.16294326683526,37.08817128362047,2,-1,-1,0,39925.5463314211,0,5.0,272644507,39925.5463314211,Насление: 6<br/><b>Прирост:</b> 6<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,8,0,2,0,10.492564696014393,5.0
60,34678,3,1,7,0,55.162969514609614,37.09601722260523,-3,-1,0,0,39740.64913166208,0,5.0,272644507,39740.64913166208,Насление: 3<br/><b>Прирост:</b> 3<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,0,0,7,0,10.448377465398444,5.0
61,34679,12,3,6,0,55.16299525753213,37.10386317427445,3,0,-1,0,39561.209007899386,3,4.0,272644507,39561.20900789834,Насление: 12<br/><b>Прирост:</b> 12<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,15,3,5,0,10.409528217265803,4.0
62,34680,12,2,12,0,55.16302049560106,37.11170913838181,-9,-1,-2,-1,39387.30055108363,3,4.0,272644507,39387.30055108363,Насление: 12<br/><b>Прирост:</b> 12<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,3,1,10,-1,10.367596433602433,4.0
63,34681,30,1,17,0,55.16304522881469,37.11955511468099,11,-1,1,0,39218.997355288084,0,5.0,272644507,39218.997355288084,Насление: 30<br/><b>Прирост:</b> 30<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,41,0,18,0,10.334959858200602,5.0
64,34682,24,4,14,2,55.16306945607485,37.127401102935906,6,-1,-2,0,39056.37200626695,6,4.0,272644507,39056.37200626695,Насление: 26<br/><b>Прирост:</b> 26<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,30,3,12,2,10.295828885427168,4.0
65,34683,11,1,7,0,55.16309317957284,37.13524710287956,1,-1,-2,0,38899.495489837565,0,5.0,272644507,38899.495489837565,Насление: 11<br/><b>Прирост:</b> 11<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,12,0,5,0,10.250576934100138,5.0
66,34684,18,0,8,0,55.16311639821056,37.14309311427606,4,0,-1,0,38748.43775318775,0,5.0,272644507,38748.43775318775,Насление: 18<br/><b>Прирост:</b> 18<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,22,0,7,0,10.216929066553313,5.0
67,34685,7,0,10,0,55.163139111438205,37.150939136883885,-5,0,0,0,38603.26716938533,0,5.0,272644507,38603.26716938533,Насление: 7<br/><b>Прирост:</b> 7<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,2,0,10,0,10.179332372938797,5.0
68,34686,1,7,8,2,55.163161320350675,37.158785170446976,-2,-1,0,0,38464.05028498925,7,4.0,272644507,38464.05028499103,Насление: 3<br/><b>Прирост:</b> 3<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,-1,6,8,2,10.148380193409686,4.0
69,35016,25,7,15,1,55.167176050214366,37.017504212451634,5,0,-1,0,41380.685448264245,0,5.0,272644507,41380.685448264245,Насление: 26<br/><b>Прирост:</b> 26<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,30,7,14,1,10.84795497109393,5.0
70,35017,76,6,36,1,55.16720684668885,37.025350908066976,27,0,-6,-1,41147.66089288186,5,4.0,272644507,41147.66089288185,Насление: 77<br/><b>Прирост:</b> 77<br/><b>Логистика:</b> 5<br/><b>Необходимость постройки учреждения:</b> 4.0,103,6,30,0,10.812532262173857,4.0
71,35018,48,2,26,1,55.167237138244936,37.03319761858921,-3,-1,-6,-1,40919.42059158551,3,4.0,272644507,40919.42059158516,Насление: 49<br/><b>Прирост:</b> 49<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,45,1,20,0,10.74413721874466,4.0
72,35019,13,7,16,0,55.1672669248806,37.04104434377194,-10,-1,-4,-1,40696.0450488896,15,4.0,272644507,40696.04504888962,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 15<br/><b>Необходимость постройки учреждения:</b> 4.0,3,6,12,-1,10.683554034070179,4.0
73,35020,31,11,41,0,55.16729620659379,37.04889108336874,-16,0,0,-1,40477.614811409316,5,4.0,272644507,40477.614811409316,Насление: 31<br/><b>Прирост:</b> 31<br/><b>Логистика:</b> 5<br/><b>Необходимость постройки учреждения:</b> 4.0,15,11,41,-1,10.640309738997544,4.0
74,35021,65,6,40,0,55.167324983382514,37.05673783713326,9,-1,3,0,40264.210370900924,15,4.0,272644507,40264.21037090058,Насление: 65<br/><b>Прирост:</b> 65<br/><b>Логистика:</b> 15<br/><b>Необходимость постройки учреждения:</b> 4.0,74,5,43,0,10.601944366929391,4.0
75,35022,35,14,47,0,55.1673532541449,37.064584603873314,-23,-1,-4,0,40055.9121989479,0,5.0,272644507,40055.912198947546,Насление: 35<br/><b>Прирост:</b> 35<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,12,13,43,0,10.540666481672245,5.0
76,35023,29,7,36,0,55.16738102107888,37.07243138523381,-10,-2,1,0,39852.80009511586,6,4.0,272644507,39852.8000951148,Насление: 29<br/><b>Прирост:</b> 29<br/><b>Логистика:</b> 6<br/><b>Необходимость постройки учреждения:</b> 4.0,19,5,37,0,10.490129195064663,4.0
77,35024,58,3,28,1,55.1674082830859,37.08027818098055,21,-1,-3,-1,39654.953870708036,7,4.0,272644507,39654.953870708036,Насление: 59<br/><b>Прирост:</b> 59<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,79,2,25,0,10.450826872281663,4.0
78,35025,10,2,10,0,55.16743503960918,37.08812498895731,-4,-1,-2,0,39462.45284039224,2,4.3,272644507,39462.45284039224,Насление: 10<br/><b>Прирост:</b> 10<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,6,1,8,0,10.384984522728866,4.3
79,35026,33,2,12,0,55.167461291746775,37.09597180986404,11,-1,-1,-1,39275.375468790815,13,4.0,272644507,39275.37546879259,Насление: 33<br/><b>Прирост:</b> 33<br/><b>Логистика:</b> 13<br/><b>Необходимость постройки учреждения:</b> 4.0,44,1,11,-1,10.350856593753024,4.0
80,35027,7,6,14,0,55.16748703894864,37.103818643460066,-2,0,0,0,39093.79968251461,5,4.0,272644507,39093.79968251391,Насление: 7<br/><b>Прирост:</b> 7<br/><b>Логистика:</b> 5<br/><b>Необходимость постройки учреждения:</b> 4.0,5,6,14,0,10.299852545466788,4.0
81,35028,62,7,37,0,55.16751228121297,37.11166548949894,25,-1,1,0,38917.80249375739,7,4.0,272644507,38917.80249375739,Насление: 62<br/><b>Прирост:</b> 62<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,87,6,38,0,10.280480897702134,4.0
82,35029,8,2,12,0,55.167537018538106,37.1195123477343,-5,-1,1,0,38747.45992626863,0,5.0,272644507,38747.45992626793,Насление: 8<br/><b>Прирост:</b> 8<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,3,1,13,0,10.21479506287268,5.0
83,35030,13,0,7,0,55.16756125092232,37.12735921791971,3,0,0,-1,38582.846882164864,0,5.0,272644507,38582.846882164864,Насление: 13<br/><b>Прирост:</b> 13<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,16,0,7,-1,10.176023560635821,5.0
84,35031,31,5,16,0,55.16758497836397,37.135206099808784,10,-1,1,-1,38424.03700611473,7,4.0,272644507,38424.03700611438,Насление: 31<br/><b>Прирост:</b> 31<br/><b>Логистика:</b> 7<br/><b>Необходимость постройки учреждения:</b> 4.0,41,4,17,-1,10.14837703705934,4.0
85,35032,24,2,14,0,55.167608199764956,37.14305299316482,9,0,-1,0,38271.102663790036,0,5.0,272644507,38271.102663790036,Насление: 24<br/><b>Прирост:</b> 24<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,33,2,13,0,10.107389888999618,5.0
86,35033,11,3,15,0,55.167630917316636,37.15089989772166,-3,0,0,0,38124.1143368144,0,5.0,272644507,38124.1143368144,Насление: 11<br/><b>Прирост:</b> 11<br/><b>Логистика:</b> 0<br/><b>Необходимость постройки учреждения:</b> 5.0,8,3,15,0,10.068529183101665,5.0
87,35034,47,4,26,0,55.16765312992101,37.15874681324287,16,0,-1,0,37983.14117915164,2,4.3,272644507,37983.14117915305,Насление: 47<br/><b>Прирост:</b> 47<br/><b>Логистика:</b> 2<br/><b>Необходимость постройки учреждения:</b> 4.3,63,4,25,0,10.049044398894816,4.3
88,35035,20,4,16,0,55.16767483757656,37.166593739482025,7,-1,0,0,37848.25041108267,3,4.0,272644507,37848.250411081965,Насление: 20<br/><b>Прирост:</b> 20<br/><b>Логистика:</b> 3<br/><b>Необходимость постройки учреждения:</b> 4.0,27,3,16,0,10.007354516924469,4.0
89,35368,44,5,33,2,55.171667777124995,37.01744996556412,1,-1,2,-1,40940.16704883824,4,4.0,272644507,40940.167048839656,Насление: 46<br/><b>Прирост:</b> 46<br/><b>Логистика:</b> 4<br/><b>Необходимость постройки учреждения:</b> 4.0,45,4,35,1,10.752396351866102,4.0
