,cell_zid,area_peresechenia_s_admzone_kv.km,adm_zid,adm_name,okrug_name,sub_ter
107,35386,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
108,35723,0.00042805,216,Роговское,Троицкий административный округ,Новая Москва
109,35725,0.03490614,216,Роговское,Троицкий административный округ,Новая Москва
110,35727,0.46581536999999995,216,Роговское,Троицкий административный округ,Новая Москва
111,35728,2.44635603,216,Роговское,Троицкий административный округ,Новая Москва
112,35729,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
113,35730,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
114,35731,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
115,35732,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
116,35733,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
117,35734,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
118,35735,2.50063763,216,Роговское,Троицкий административный округ,Новая Москва
119,35736,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
120,35737,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
121,35738,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
122,35739,2.5006431,216,Роговское,Троицкий административный округ,Новая Москва
123,35740,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
124,35741,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
125,35742,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
126,35743,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
127,35744,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
128,35745,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
129,35746,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
130,36090,1.24757208,216,Роговское,Троицкий административный округ,Новая Москва
131,36091,1.77629809,216,Роговское,Троицкий административный округ,Новая Москва
132,36092,2.08075672,216,Роговское,Троицкий административный округ,Новая Москва
133,36093,1.9532848,216,Роговское,Троицкий административный округ,Новая Москва
134,36094,0.87355169,216,Роговское,Троицкий административный округ,Новая Москва
135,36095,2.25403592,216,Роговское,Троицкий административный округ,Новая Москва
136,36096,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
137,36097,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
138,36098,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
139,36099,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
140,36100,2.50063396,216,Роговское,Троицкий административный округ,Новая Москва
141,36101,2.5006355,216,Роговское,Троицкий административный округ,Новая Москва
142,36102,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
143,36103,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
144,36104,2.50063966,216,Роговское,Троицкий административный округ,Новая Москва
145,36105,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
146,36106,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
147,36107,2.5006455300000003,216,Роговское,Троицкий административный округ,Новая Москва
148,36108,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
149,36109,2.50064786,216,Роговское,Троицкий административный округ,Новая Москва
150,36110,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
151,36111,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
152,36112,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
153,36113,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
154,36458,0.16241062,216,Роговское,Троицкий административный округ,Новая Москва
155,36459,2.16973206,216,Роговское,Троицкий административный округ,Новая Москва
156,36460,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
157,36461,2.50061863,216,Роговское,Троицкий административный округ,Новая Москва
158,36462,2.50062073,216,Роговское,Троицкий административный округ,Новая Москва
159,36463,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
160,36464,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
161,36465,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
162,36466,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
163,36467,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
164,36468,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
165,36469,2.5006338,216,Роговское,Троицкий административный округ,Новая Москва
166,36470,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
167,36471,2.50063763,216,Роговское,Троицкий административный округ,Новая Москва
168,36472,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
169,36473,2.50063997,216,Роговское,Троицкий административный округ,Новая Москва
170,36474,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
171,36475,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
172,36476,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
173,36477,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
174,36478,2.50064802,216,Роговское,Троицкий административный округ,Новая Москва
175,36479,2.50064959,216,Роговское,Троицкий административный округ,Новая Москва
176,36480,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
177,36481,2.50065251,216,Роговское,Троицкий административный округ,Новая Москва
178,36482,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
179,36832,1.25955938,216,Роговское,Троицкий административный округ,Новая Москва
180,36833,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
181,36834,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
182,36835,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
183,36836,2.50062118,216,Роговское,Троицкий административный округ,Новая Москва
184,36837,2.5006229500000003,216,Роговское,Троицкий административный округ,Новая Москва
185,36838,2.50062468,216,Роговское,Троицкий административный округ,Новая Москва
186,36839,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
187,36840,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
188,36841,2.50063077,216,Роговское,Троицкий административный округ,Новая Москва
189,36842,2.50063253,216,Роговское,Троицкий административный округ,Новая Москва
190,36843,2.50063411,216,Роговское,Троицкий административный округ,Новая Москва
191,36844,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
192,36845,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
193,36846,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
194,36847,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
195,36848,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
196,36849,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
197,36850,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
198,36851,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
199,36852,2.50064802,216,Роговское,Троицкий административный округ,Новая Москва
200,36853,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
201,36854,2.50065069,216,Роговское,Троицкий административный округ,Новая Москва
202,36855,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
203,36856,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
204,36857,2.22652279,216,Роговское,Троицкий административный округ,Новая Москва
205,37219,0.05744258,216,Роговское,Троицкий административный округ,Новая Москва
206,37220,2.27391634,216,Роговское,Троицкий административный округ,Новая Москва
207,37221,2.50061495,216,Роговское,Троицкий административный округ,Новая Москва
208,37222,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
209,37223,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
210,37224,2.50062103,216,Роговское,Троицкий административный округ,Новая Москва
211,37225,2.5006229500000003,216,Роговское,Троицкий административный округ,Новая Москва
212,37226,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
213,37227,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
214,37228,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
215,37229,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
216,37230,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
217,37231,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
218,37232,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
219,37233,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
220,37234,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
221,37235,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
222,37236,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
223,37237,2.5006440100000003,216,Роговское,Троицкий административный округ,Новая Москва
224,37238,2.5006458400000002,216,Роговское,Троицкий административный округ,Новая Москва
225,37239,2.5006473199999997,216,Роговское,Троицкий административный округ,Новая Москва
226,37240,2.50064832,216,Роговское,Троицкий административный округ,Новая Москва
227,37241,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
228,37242,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
229,37243,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
230,37244,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
231,37610,0.98981245,216,Роговское,Троицкий административный округ,Новая Москва
232,37611,2.50061291,216,Роговское,Троицкий административный округ,Новая Москва
233,37612,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
234,37613,2.50061757,216,Роговское,Троицкий административный округ,Новая Москва
235,37614,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
236,37615,2.50062103,216,Роговское,Троицкий административный округ,Новая Москва
237,37616,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
238,37617,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
239,37618,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
240,37619,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
241,37620,2.50063016,216,Роговское,Троицкий административный округ,Новая Москва
242,37621,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
243,37622,2.50063396,216,Роговское,Троицкий административный округ,Новая Москва
244,37623,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
245,37624,2.50063703,216,Роговское,Троицкий административный округ,Новая Москва
246,37625,2.50063867,216,Роговское,Троицкий административный округ,Новая Москва
247,37626,2.50064028,216,Роговское,Троицкий административный округ,Новая Москва
248,37627,2.50064186,216,Роговское,Троицкий административный округ,Новая Москва
249,37628,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
250,37629,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
251,37630,2.5006461,216,Роговское,Троицкий административный округ,Новая Москва
252,37631,2.50064771,216,Роговское,Троицкий административный округ,Новая Москва
253,37632,2.5006496,216,Роговское,Троицкий административный округ,Новая Москва
254,37633,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
255,37634,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
256,37635,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
257,38002,1.42133142,216,Роговское,Троицкий административный округ,Новая Москва
258,38003,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
259,38004,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
260,38005,2.50061726,216,Роговское,Троицкий административный округ,Новая Москва
261,38006,2.50061924,216,Роговское,Троицкий административный округ,Новая Москва
262,38007,2.50062119,216,Роговское,Троицкий административный округ,Новая Москва
263,38008,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
264,38009,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
265,38010,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
266,38011,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
267,38012,2.50063077,216,Роговское,Троицкий административный округ,Новая Москва
268,38013,2.50063284,216,Роговское,Троицкий административный округ,Новая Москва
269,38014,2.50063411,216,Роговское,Троицкий административный округ,Новая Москва
270,38015,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
271,38016,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
272,38017,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
273,38018,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
274,38019,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
275,38020,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
276,38021,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
277,38022,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
278,38023,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
279,38024,2.5006496,216,Роговское,Троицкий административный округ,Новая Москва
280,38025,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
281,38026,2.50065236,216,Роговское,Троицкий административный округ,Новая Москва
282,38027,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
283,38401,0.01827906,216,Роговское,Троицкий административный округ,Новая Москва
284,38402,2.2071899900000003,216,Роговское,Троицкий административный округ,Новая Москва
285,38403,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
286,38404,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
287,38405,2.50061696,216,Роговское,Троицкий административный округ,Новая Москва
288,38406,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
289,38407,2.50062119,216,Роговское,Троицкий административный округ,Новая Москва
290,38408,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
291,38409,2.50062468,216,Роговское,Троицкий административный округ,Новая Москва
292,38410,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
293,38411,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
294,38412,2.50063016,216,Роговское,Троицкий административный округ,Новая Москва
295,38413,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
296,38414,2.5006338,216,Роговское,Троицкий административный округ,Новая Москва
297,38415,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
298,38416,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
299,38417,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
300,38418,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
301,38419,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
302,38420,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
303,38421,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
304,38422,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
305,38423,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
306,38424,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
307,38425,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
308,38426,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
309,38427,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
310,38805,0.3687683,216,Роговское,Троицкий административный округ,Новая Москва
311,38806,2.43435463,216,Роговское,Троицкий административный округ,Новая Москва
312,38807,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
313,38808,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
314,38809,2.50061757,216,Роговское,Троицкий административный округ,Новая Москва
315,38810,2.5006198499999996,216,Роговское,Троицкий административный округ,Новая Москва
316,38811,2.50062134,216,Роговское,Троицкий административный округ,Новая Москва
317,38812,2.50062326,216,Роговское,Троицкий административный округ,Новая Москва
318,38813,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
319,38814,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
320,38815,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
321,38816,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
322,38817,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
323,38818,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
324,38819,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
325,38820,2.50063718,216,Роговское,Троицкий административный округ,Новая Москва
326,38821,2.50063867,216,Роговское,Троицкий административный округ,Новая Москва
327,38822,2.50064028,216,Роговское,Троицкий административный округ,Новая Москва
328,38823,2.50064186,216,Роговское,Троицкий административный округ,Новая Москва
329,38824,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
330,38825,2.5006455300000003,216,Роговское,Троицкий административный округ,Новая Москва
331,38826,2.5006470199999997,216,Роговское,Троицкий административный округ,Новая Москва
332,38827,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
333,38828,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
334,38829,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
335,38830,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
336,38831,2.50041041,216,Роговское,Троицкий административный округ,Новая Москва
337,39212,1.2162814100000001,216,Роговское,Троицкий административный округ,Новая Москва
338,39213,2.3379692800000003,216,Роговское,Троицкий административный округ,Новая Москва
339,39214,2.5006108400000002,216,Роговское,Троицкий административный округ,Новая Москва
340,39215,2.50061291,216,Роговское,Троицкий административный округ,Новая Москва
341,39216,2.50061495,216,Роговское,Троицкий административный округ,Новая Москва
