zid,customers_cnt_home,customers_cnt_job,customers_cnt_day,customers_cnt_move
40502,34,4,21,3
40503,38,0,26,0
40504,45,4,31,0
40505,33,5,21,0
40506,28,8,24,0
40507,30,4,19,0
40508,27,6,20,1
40509,30,7,23,0
40510,19,7,18,0
40511,25,3,18,0
40512,12,5,10,0
40513,16,3,7,2
40514,25,15,30,0
40515,29,4,24,0
40516,36,4,23,1
40517,25,9,23,1
40518,32,4,26,1
40519,23,8,20,0
40520,18,6,19,0
40521,26,7,22,4
40522,11,4,11,0
40523,8,2,9,0
40524,26,7,17,0
40525,8,5,10,0
40526,5,4,5,0
40527,3,0,3,0
40528,19,6,15,0
40529,9,2,7,0
40547,26,11,26,1
40548,20,5,14,0
40549,10,9,15,0
40949,41,0,21,4
40950,34,6,21,0
40951,25,2,18,0
40952,33,6,27,1
40953,29,8,24,0
40954,34,6,26,0
40955,48,12,34,0
40956,36,2,26,0
40957,27,9,29,1
40958,25,15,30,0
40959,19,4,18,1
40960,38,6,22,0
40961,17,5,12,0
40962,12,4,9,0
40963,23,6,19,0
40964,21,8,21,1
40965,23,2,12,1
40966,30,9,28,0
40967,22,6,14,1
40968,13,0,6,0
40969,13,7,14,0
40970,8,0,6,0
40971,6,3,8,0
40972,8,3,10,0
40973,4,2,3,0
40974,6,2,4,0
40975,10,0,6,0
40976,4,2,5,0
40977,6,3,5,0
40978,8,5,12,0
40979,11,2,8,0
40980,33,5,29,0
40995,10,5,10,0
40996,5,3,4,1
40997,18,9,19,0
40998,21,9,22,0
41408,7,0,4,0
41409,20,0,8,0
41410,15,5,14,0
41411,21,9,18,2
41412,30,5,18,0
41413,21,6,17,1
41414,7,6,11,0
41415,26,3,14,2
41416,30,6,25,0
41417,58,20,61,0
41418,15,4,12,0
41419,14,5,15,0
41420,17,7,18,0
41421,15,1,9,2
41422,28,8,30,0
41423,32,8,30,0
41424,13,4,7,1
41425,15,2,13,1
41426,14,6,13,1
41427,7,3,8,0
41428,14,2,9,0
41429,20,6,13,0
41430,11,2,8,0
41431,7,0,6,0
41432,24,0,12,0
41433,7,2,4,0
41434,21,0,12,0
41435,11,2,10,0
41436,3,0,2,0
41437,6,2,5,0
41438,7,0,6,0
41439,25,12,23,0
41440,14,5,14,0
41441,20,12,19,0
41446,56,10,55,0
41447,37,16,36,2
41448,98,23,85,7
41449,59,15,49,4
41454,73,31,86,2
41455,8,2,5,0
41456,21,10,22,0
41457,13,2,7,1
41458,10,3,10,0
41459,12,3,10,1
41460,14,7,17,0
41461,21,19,30,0
41886,35,12,41,0
41887,18,8,16,0
41888,21,2,9,1
41889,28,3,20,0
41890,15,7,9,1
41891,16,2,16,0
41892,33,5,24,2
41893,18,10,21,0
41894,35,15,39,0
41895,16,7,15,0
41896,43,12,37,0
41897,17,15,29,0
41898,30,4,26,0
41899,20,6,23,0
41900,12,2,7,2
41901,10,3,9,0
41902,21,12,26,0
41903,25,8,20,1
41904,13,7,11,0
41905,28,3,25,0
41906,27,7,22,2
41907,38,8,29,0
41908,10,0,5,0
41909,7,4,11,0
41910,8,3,7,0
41911,9,0,6,0
41912,7,2,5,0
41913,30,13,32,0
41914,30,8,22,0
41915,14,15,19,0
41916,19,2,14,0
41917,11,2,10,1
41918,20,7,21,0
41923,27,11,27,0
41924,32,5,24,0
41925,23,7,19,1
41926,50,12,38,1
41927,58,9,29,6
41930,34,9,27,2
41931,16,8,16,0
41932,15,3,11,0
41933,9,6,11,0
41934,13,4,8,0
41935,13,7,15,0
41936,24,0,12,0
41937,25,9,22,0
41938,14,8,16,0
41939,13,3,7,0
41940,36,6,30,2
41941,32,7,34,0
42379,14,0,7,0
42380,6,9,13,0
42381,29,14,30,3
42382,24,6,20,0
42383,32,9,34,0
42384,32,9,34,1
42385,39,10,35,0
42386,30,4,25,2
42387,16,6,16,0
42388,51,6,40,2
42389,24,8,22,0
42390,17,7,18,0
42391,14,0,6,0
42392,22,5,14,1
42393,11,2,8,1
42394,39,6,26,2
42395,13,5,14,0
42396,14,6,12,1
42397,13,6,14,0
42398,16,6,17,0
42399,13,4,12,1
42400,22,6,15,0
42401,23,2,11,0
42402,21,4,8,0
42403,5,3,5,0
42404,11,2,6,0
42405,8,2,8,0
42406,19,15,20,0
42407,11,0,8,1
42408,10,4,10,0
42409,9,2,6,0
42410,14,8,19,2
42411,16,5,17,1
42412,9,4,11,0
42415,60,10,51,3
42416,17,9,18,0
42417,53,7,42,0
42418,44,4,40,2
42419,37,11,35,1
42420,72,11,35,2
42422,67,10,38,2
42423,67,13,59,0
42424,17,5,15,0
42425,7,5,7,0
42426,8,2,8,0
42427,13,6,15,0
42428,13,0,7,1
42429,16,4,13,0
42430,12,2,9,0
42431,11,2,10,0
42432,14,7,13,1
42433,10,0,5,0
42434,13,4,10,0
42435,8,2,6,0
42436,15,7,18,0
42880,23,6,19,2
42881,16,4,10,1
42882,18,0,12,0
42883,25,6,26,0
42884,15,6,18,0
42885,15,4,17,0
42886,15,7,14,0
42887,20,6,22,0
42888,28,15,41,0
42889,25,4,23,0
42890,46,12,34,0
42891,28,10,27,0
42892,22,0,12,1
42893,20,5,17,2
42894,18,5,16,0
42895,17,5,19,1
42896,35,12,30,3
42897,20,4,15,0
42898,30,5,27,1
42899,13,3,8,3
42900,20,4,14,1
42901,9,7,13,0
42902,12,6,13,0
42903,7,4,5,0
42904,13,5,13,1
42905,15,3,12,2
42906,18,7,24,0
42907,13,9,19,0
42908,17,4,13,0
42909,14,4,14,0
42910,17,7,15,0
42911,17,3,15,0
42912,10,2,9,0
42913,23,8,27,0
42914,7,4,9,0
42915,11,3,12,0
42916,14,4,10,0
42917,34,9,21,0
42918,32,10,28,0
42919,36,6,24,0
42920,87,10,49,0
42922,50,11,37,0
42923,35,5,25,2
42924,14,5,10,0
42925,12,5,12,0
42926,13,3,7,1
42927,12,5,10,0
42928,11,0,10,0
42929,15,0,11,0
42930,10,6,11,1
42931,8,4,11,0
42932,11,5,9,0
42933,4,5,7,0
42934,10,4,9,2
42935,9,0,4,0
42936,10,3,9,0
42937,12,2,8,0
42938,9,0,3,0
43390,10,2,8,0
43391,10,3,10,0
43392,12,2,10,0
43393,8,3,7,1
43394,6,0,6,0
43395,33,8,27,0
43396,15,6,21,0
43397,16,3,12,0
43398,12,7,14,0
43399,10,3,9,1
43400,11,2,7,0
43401,16,2,9,2
43402,14,3,12,1
43403,10,2,8,0
43404,15,0,8,1
43405,25,3,15,0
43406,21,17,31,0
43407,21,4,16,1
43408,15,16,24,0
43409,21,10,18,0
43410,33,7,16,8
43411,7,15,19,0
43412,15,2,8,1
43413,6,2,5,0
43414,10,2,9,0
43415,23,5,14,2
43416,17,4,11,0
43417,16,6,12,1
43418,18,3,14,0
43419,9,2,5,0
43420,14,4,12,0
43421,12,3,11,0
43422,16,2,12,1
43423,14,8,15,0
43424,11,2,6,0
43425,12,2,10,0
43426,16,7,17,0
43427,27,5,20,0
43428,26,8,21,0
43429,61,14,51,3
43430,54,15,42,2
43431,25,7,20,0
43432,26,12,22,0
43433,28,15,34,0
43434,9,3,8,0
43435,12,1,9,0
43436,12,2,11,0
43437,16,5,17,0
43438,12,3,9,1
43439,6,2,5,0
43440,6,2,5,0
43441,20,10,21,0
43442,6,4,6,0
43443,8,0,5,0
43444,9,6,12,0
43445,10,0,7,0
43446,10,2,11,0
43447,5,0,2,0
43910,30,5,12,0
43911,22,4,10,0
43912,9,2,6,0
43913,15,2,10,0
43914,6,4,8,0
43915,6,2,4,0
43916,6,3,6,0
43917,12,3,8,0
43918,12,15,24,0
43919,10,2,9,0
43920,16,7,19,0
43921,21,0,12,0
43922,7,4,9,0
43923,16,2,12,0
43924,16,3,14,1
43925,12,0,9,3
43926,13,3,11,0
43927,4,3,6,0
43928,5,3,5,0
43929,42,15,41,7
43930,38,23,43,0
43931,26,16,31,0
43932,10,7,10,1
43933,21,4,13,0
43934,14,4,15,0
43935,6,0,4,0
43936,8,5,9,0
43937,23,11,23,0
43938,15,5,11,1
43939,17,7,19,0
43940,14,2,9,2
43941,14,2,12,0
43942,13,0,8,1
43943,14,4,15,0
43944,7,4,6,0
43945,21,4,18,0
43946,18,4,14,0
43947,18,4,15,0
43948,33,11,24,0
43949,20,11,23,0
43950,15,2,10,0
43951,19,7,14,0
43952,8,3,5,0
43953,18,5,19,0
43954,8,4,9,2
43955,25,7,23,0
43956,14,0,6,0
43957,18,0,7,0
43958,10,0,6,1
43959,8,7,10,1
43960,12,3,8,0
43961,16,2,10,1
43962,14,3,6,0
43963,14,8,15,0
43964,3,3,3,1
43965,11,3,9,0
43966,10,3,10,0
43967,32,10,19,2
44448,5,3,6,0
44449,9,3,11,0
44450,5,5,9,0
44451,20,6,16,0
44452,9,3,9,0
44453,10,7,12,1
44454,9,0,3,1
44455,8,4,12,0
44456,14,0,8,0
44457,9,2,3,1
44458,21,4,15,0
44459,5,2,5,0
44460,28,3,17,2
44461,6,6,8,0
44462,13,13,26,0
44463,17,6,14,0
44464,25,33,45,0
44465,14,10,16,0
44466,9,14,19,1
44467,13,7,12,0
44468,17,3,11,0
44469,12,5,9,0
44470,26,5,14,1
44471,17,4,13,0
44472,20,8,21,0
44473,10,5,10,0
44474,23,8,26,0
44475,9,0,7,0
44476,15,2,14,0
44477,12,3,10,2
44478,15,0,8,0
44479,10,0,6,0
44480,39,8,26,3
44481,19,3,16,0
44482,14,2,10,1
44483,11,2,6,0
44484,22,6,18,0
44485,13,0,6,0
44486,10,5,8,2
44487,17,3,15,0
44488,18,8,24,0
44489,35,0,22,0
44490,20,2,20,0
44491,18,4,16,2
44492,12,5,11,0
44493,16,3,9,0
44494,5,5,7,0
44495,12,2,7,0
44496,21,5,15,0
44497,16,7,14,0
44498,14,4,10,0
44499,10,4,5,0
44500,23,3,12,0
44501,13,5,13,0
44502,18,8,23,0
44993,11,4,9,0
44994,7,2,5,0
44995,5,3,5,0
44996,8,2,7,0
44997,5,3,6,0
44998,6,2,4,0
44999,16,0,9,1
45000,10,0,5,1
45001,11,2,6,1
45002,4,8,9,0
45003,3,3,6,0
45004,4,3,5,1
45005,11,23,31,0
45006,11,11,15,1
45007,7,8,14,0
45008,56,23,52,0
45009,23,19,34,1
45010,20,17,29,0
45011,9,8,11,1
45012,12,5,9,0
45013,25,16,31,0
45014,17,5,15,0
45015,17,3,15,0
45016,19,4,18,0
45017,18,7,18,0
45018,14,5,10,1
45019,11,6,13,1
45020,15,5,13,0
45021,41,20,41,1
45022,21,4,17,0
45023,10,4,10,0
45024,15,5,11,0
45025,12,5,12,0
45026,5,2,3,0
45027,11,3,6,0
45028,35,8,23,0
45029,17,6,13,0
45030,6,3,8,0
45031,21,4,25,0
45032,19,0,8,0
45033,13,6,12,0
45034,14,2,13,0
45035,12,2,8,1
45036,6,2,7,0
45037,13,2,9,0
45038,15,3,13,0
45039,12,4,12,0
45040,15,5,13,0
45041,25,10,19,0
45042,32,3,15,0
45043,13,2,6,0
45044,14,3,14,0
45045,10,4,9,1
45046,11,4,9,2
45544,10,2,11,1
45545,6,2,8,0
45546,16,0,14,0
45547,11,0,11,0
45548,6,3,5,0
45549,2,0,0,0
45550,5,2,6,0
45551,11,6,14,0
45552,5,4,9,0
45553,4,2,4,0
45554,6,4,4,0
45555,4,6,9,0
45556,20,35,51,0
45557,28,37,56,0
45558,27,59,68,2
45559,30,21,39,0
45560,13,14,20,0
45561,19,3,14,0
45562,20,11,22,0
45563,10,5,9,0
45564,15,5,11,2
45565,12,12,16,0
45566,24,14,33,0
45567,17,7,20,0
45568,12,3,11,1
45569,18,6,18,0
45570,21,15,30,0
45571,28,5,24,0
45572,15,2,11,0
45573,5,6,7,0
45574,10,0,7,0
45575,12,5,12,1
45576,14,8,12,0
45577,25,4,15,0
45578,39,4,15,3
45579,8,2,6,0
45580,10,2,9,0
45581,11,0,7,0
45582,10,3,8,0
45583,11,4,5,1
45584,11,12,15,0
45585,14,0,9,0
45586,23,3,18,0
45587,12,0,9,0
45588,16,7,12,1
45589,22,2,15,1
45590,17,2,13,0
45591,31,3,18,0
45592,30,12,31,0
45593,18,3,10,0
45594,12,9,12,1
45595,17,9,21,0
45596,23,3,13,0
46099,5,2,6,0
46100,9,0,7,2
46101,7,0,7,0
46102,9,3,10,0
46103,6,2,6,0
46104,10,7,13,0
46105,26,5,18,0
46106,25,8,23,0
46107,19,4,14,0
46108,12,12,22,0
46109,8,11,15,0
46110,20,12,20,0
46111,28,15,28,0
46112,19,11,25,0
46113,26,12,34,1
46114,26,17,36,0
46115,17,5,11,1
46116,19,8,18,0
46117,14,12,23,0
46118,18,3,16,0
46119,73,26,70,2
46120,23,3,16,0
46121,10,2,8,0
46122,20,4,14,0
46123,14,4,9,1
46124,5,0,4,0
46125,21,8,20,0
46126,14,5,15,2
46127,15,2,12,0
46128,7,2,6,0
46129,11,0,11,0
46130,8,0,4,0
46131,15,2,7,1
46132,27,8,21,0
46133,31,4,15,0
46134,21,4,11,0
46135,13,6,8,0
46136,8,0,3,0
46137,11,4,7,0
46138,19,3,15,0
46139,8,6,11,0
46140,18,2,9,1
46141,18,3,13,0
46142,23,7,21,0
46143,10,5,11,0
46144,29,3,17,0
46145,27,5,20,2
46146,10,3,10,0
46147,21,10,22,0
46148,16,2,14,2
46659,26,11,34,0
46660,5,3,5,1
46661,4,0,3,0
46662,11,2,9,0
46663,4,0,3,0
46664,11,4,12,0
46665,5,2,3,0
46666,10,9,13,1
46667,15,14,20,0
46668,16,17,25,0
46669,26,11,19,1
46670,33,13,29,2
46671,40,5,25,3
46672,27,13,21,1
46673,31,12,29,1
46674,18,6,14,2
46675,10,9,15,2
46676,6,5,9,1
46677,25,4,20,0
46678,16,8,17,0
46679,20,6,16,1
46680,27,4,20,0
46681,24,8,22,1
46682,24,10,19,2
46683,14,8,15,3
46684,8,2,4,0
46685,22,0,11,2
46686,13,2,6,0
46687,11,0,8,0
46688,13,0,10,0
46689,8,2,4,0
46690,6,3,5,0
46691,7,4,5,1
46692,10,4,8,0
46693,14,0,9,0
46694,12,2,9,0
46695,8,2,5,0
46696,13,0,9,0
46697,16,2,14,0
46698,14,5,14,0
46699,13,3,11,0
46700,12,2,7,0
46701,19,5,19,0
46702,12,3,10,0
46703,20,7,14,1
46704,29,7,27,1
46705,8,5,9,0
46706,15,0,12,0
46707,16,5,13,1
46708,21,3,13,1
47223,37,0,24,2
47224,7,2,6,1
47225,12,2,12,0
47226,5,0,4,1
47227,26,4,21,0
47228,8,2,6,0
47229,5,0,2,0
47230,7,8,12,1
47231,20,4,15,0
47232,18,8,15,7
47233,12,6,13,0
47234,12,7,10,0
47235,27,7,23,0
47236,37,11,37,1
47237,65,18,59,4
47238,38,9,26,3
47239,20,5,18,0
47240,21,7,14,2
47241,16,3,13,0
47242,16,3,12,1
47243,39,6,29,0
47244,23,12,21,1
47245,24,3,9,1
47246,39,22,42,0
47247,33,28,44,0
47248,41,14,36,0
47249,38,18,39,0
47250,10,5,11,0
47251,13,2,8,0
47252,21,6,21,0
47253,15,0,10,2
47254,33,7,25,3
47255,49,4,19,0
47256,5,2,7,0
47257,9,4,7,1
47258,13,0,6,0
47259,10,2,9,0
47260,21,0,10,0
47261,16,4,11,0
47262,28,4,29,0
47263,10,7,13,0
47264,4,0,4,0
47265,13,3,12,0
47266,11,4,11,0
47267,17,18,25,2
47268,7,4,7,0
47269,12,4,13,0
47270,36,3,23,5
47271,27,6,24,0
47272,21,3,17,0
47273,18,3,15,0
47274,17,2,11,0
47806,17,2,13,3
47807,8,0,5,0
47808,7,5,9,0
47809,9,2,7,0
47810,5,3,7,0
47811,19,7,24,0
47812,14,12,15,0
47813,13,5,16,0
47814,15,0,10,0
47815,7,2,5,0
47816,10,6,14,0
47817,11,0,8,0
47818,3,4,6,0
47819,10,3,5,0
47820,19,3,13,0
47821,25,4,20,0
47822,34,17,33,2
47823,62,11,49,1
47824,38,6,23,2
47825,30,4,18,0
47826,71,16,50,8
47827,19,5,12,0
47828,19,6,15,0
47829,29,9,26,0
47830,36,16,37,0
47831,35,16,38,0
47832,29,27,47,0
47833,47,26,51,0
47834,34,29,48,1
47835,40,8,32,1
47836,19,6,14,2
47837,12,4,12,1
47838,25,3,15,0
47839,21,3,10,1
47840,12,2,7,0
47841,12,2,8,0
47842,8,0,5,0
47843,12,4,13,0
47844,13,2,10,1
47845,11,6,12,0
47846,18,3,10,2
47847,11,3,12,2
47848,15,5,10,0
47849,11,3,9,0
47850,16,2,10,0
47851,12,7,15,1
47852,14,6,12,1
47853,25,2,17,1
47854,14,2,6,0
47855,16,4,15,0
47856,22,6,19,0
47857,22,3,17,0
47858,16,2,8,1
47859,10,5,13,0
48398,15,3,14,0
48399,12,4,9,0
48400,11,3,12,0
48401,17,13,21,0
48402,11,2,8,1
48403,6,3,6,0
48404,19,0,18,0
48405,13,5,17,0
48406,10,4,8,0
48407,16,10,15,2
48408,31,0,18,0
48409,3,0,3,0
48410,5,2,3,0
48411,17,0,10,0
48412,10,2,7,0
48413,37,9,29,4
48414,29,4,25,1
48415,41,10,34,1
48416,27,4,19,2
48417,28,6,23,1
48418,31,6,25,0
48419,15,4,13,0
48420,17,6,23,0
48421,42,19,48,0
48422,97,25,75,4
48423,128,42,117,1
48424,115,45,101,5
48425,67,26,65,4
48426,50,27,52,1
48427,27,15,30,2
48428,25,12,22,1
48429,23,2,12,0
48430,27,4,19,0
48431,14,2,11,0
48432,5,2,5,0
48433,5,3,6,0
48434,10,4,9,0
48435,4,3,7,0
48436,9,2,6,1
48437,29,7,19,0
48438,11,5,11,0
48439,23,0,11,1
48440,9,0,4,1
48441,14,4,9,1
48442,20,11,24,0
48443,25,4,17,1
48444,27,3,25,0
48445,21,2,14,0
48446,23,6,21,0
48447,11,5,9,1
48448,13,6,10,0
48449,9,5,8,0
48450,15,4,15,0
48999,12,0,12,0
49000,9,4,9,0
49001,17,9,22,2
49002,8,3,8,0
49003,14,5,11,0
49004,9,3,9,0
49005,9,4,9,0
49006,25,8,19,3
49007,19,2,13,0
49008,5,0,3,0
49009,35,12,30,0
49010,5,7,7,0
49011,8,7,11,0
49012,6,2,4,1
49013,14,0,4,0
49014,12,5,12,0
49015,30,9,22,0
49016,27,12,26,0
49017,32,2,17,0
49018,20,5,17,0
49019,42,8,30,1
49020,36,7,27,0
49021,42,15,37,1
49022,132,42,113,4
49023,147,41,121,1
49024,142,47,127,2
